"","event","event_size","datetime","actor"
"61","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-90P1-2RGX-T0XM.xml#bringEvent","8","2010-04-29","http://dbpedia.org/resource/Luciano_Emílio"
"62","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-RK71-2R6N-601C.xml#signEvent","14","2010-04-29","http://dbpedia.org/resource/Shay_Given"
"64","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-GC81-2PBV-91XB.xml#playEvent","72","2010-04-29","http://dbpedia.org/resource/Andy_Gray_(footballer_born_1955)"
"65","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-RK71-2R6N-601C.xml#dislocateEvent","6","2010-04-29","http://dbpedia.org/resource/Shay_Given"
"66","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-9VV0-YB58-K3C7.xml#combineEvent","5","2010-04-29","http://dbpedia.org/resource/Teko_Modise"
"67","http://www.newsreader-project.eu/LNdata/hackathon/2013/03/15/57YS-8N51-JB4B-V327.xml#takeEvent","417","2010-04-29","http://dbpedia.org/resource/David_Beckham"
"68","http://www.newsreader-project.eu/LNdata/hackathon/2013/03/15/57YS-8N51-JB4B-V327.xml#takeEvent","417","2010-04-29","http://dbpedia.org/resource/Ryan_Giggs"
"69","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-90P1-2RGX-T0XM.xml#profileEvent","6","2010-04-29","http://dbpedia.org/resource/Santino_Quaranta"
"70","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-90P1-2RGX-T0XM.xml#updateEvent","5","2010-04-29","http://dbpedia.org/resource/Kasey_Keller"
"71","http://www.newsreader-project.eu/LNdata/hackathon/2013/03/15/57YS-8N51-JB4B-V327.xml#takeEvent","417","2010-04-29","http://dbpedia.org/resource/Jung_Sung-Ryong"
"72","http://www.newsreader-project.eu/LNdata/hackathon/2013/03/15/57YS-8N51-JB4B-V327.xml#takeEvent","417","2010-04-29","http://dbpedia.org/resource/Meghan_Klingenberg"
"73","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBP-7RY1-2PP6-R028.xml#thinkingEvent","8","2010-04-29","http://dbpedia.org/resource/Didier_Drogba"
"74","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-90P1-2RGX-T0XM.xml#storyEvent","7","2010-04-29","http://dbpedia.org/resource/Steve_Zakuani"
"75","http://www.newsreader-project.eu/LNdata/hackathon/2013/03/15/57YS-8N51-JB4B-V327.xml#takeEvent","417","2010-04-29","http://dbpedia.org/resource/Neymar"
"76","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-G291-2PP6-N13S.xml#starEvent","7","2010-04-29","http://dbpedia.org/resource/Kaká"
"77","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-G291-2PP6-N13S.xml#winEvent","9","2010-04-29","http://dbpedia.org/resource/Kaká"
"78","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#believeEvent","8","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"79","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#comeEvent","8","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"80","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#introduceEvent","8","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"81","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#likeEvent","9","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"82","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#partEvent","6","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"83","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-9VV0-YB58-K3C7.xml#candidateEvent","6","2010-04-29","http://dbpedia.org/resource/Bongani_Khumalo"
"85","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#laneEvent","6","2010-04-28","http://dbpedia.org/resource/Fredy_Montero"
"86","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#playEvent","325","2010-04-28","http://dbpedia.org/resource/Benjamin_Marere"
"87","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-9GM1-2SPK-H53T.xml#receiveEvent","8","2010-04-28","http://dbpedia.org/resource/Benjamin_Marere"
"88","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-9GM1-2SPK-H53T.xml#sitEvent","10","2010-04-28","http://dbpedia.org/resource/Benjamin_Marere"
"89","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#makeEvent","3743","2010-04-28","http://dbpedia.org/resource/Ryan_Smith_(footballer)"
"90","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#ambassadorEvent","6","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"91","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#hireEvent","8","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"92","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#insistEvent","7","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"93","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#worryEvent","6","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"94","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-C8G0-Y9M7-V1WS.xml#dislocateEvent","7","2010-04-28","http://dbpedia.org/resource/Shay_Given"
"95","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBX-SS61-2SDX-20R0.xml#hostEvent","767","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
