"","event","event_size","datetime","actor"
"47","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/14/7Y79-SGK1-2RYX-14BB.xml#careerEvent","6","2010-04-14","http://dbpedia.org/resource/Zinedine_Zidane"
"48","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/14/7Y79-SGK1-2RYX-14BB.xml#fanEvent","6","2010-04-14","http://dbpedia.org/resource/Cristiano_Ronaldo"
"49","http://www.theguardian.com/football/2010/apr/14/the-fiver-tottenham-arsenal#likenEvent","72","2010-04-14","http://dbpedia.org/resource/Robin_van_Persie"
"50","http://www.theguardian.com/football/2010/apr/13/howard-webb-martin-oneill#dismissEvent","16","2010-04-13","http://dbpedia.org/resource/Sylvain_Distin"
"51","http://www.theguardian.com/football/blog/2010/apr/12/xavi-hernandez-sid-lowe#addEvent","14","2010-04-12","http://dbpedia.org/resource/Xavi"
"52","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/11/7Y7P-3N81-2SGB-B1FN.xml#scareEvent","8","2010-04-11","http://dbpedia.org/resource/Karim_Benzema"
"53","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/11/7Y6T-GVT0-Y9NR-053B.xml#wantEvent","42","2010-04-11","http://dbpedia.org/resource/Wayne_Rooney"
"54","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/11/7Y6T-GVT0-Y9NR-053B.xml#likesEvent","7","2010-04-11","http://dbpedia.org/resource/Cristiano_Ronaldo"
"55","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/10/7Y6N-C1M1-2SDX-223M.xml#standEvent","13","2010-04-10","http://dbpedia.org/resource/Lionel_Messi"
"56","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/11/7Y6T-GVT0-Y9NR-053B.xml#protectEvent","15","2010-04-11","http://dbpedia.org/resource/Wayne_Rooney"
"57","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/09/7Y6C-XXY1-2RP6-W07P.xml#likesEvent","5","2010-04-09","http://dbpedia.org/resource/Itumeleng_Khune"
"58","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/09/7Y73-PYC1-2SD0-412X.xml#visitEvent","13","2010-04-09","http://dbpedia.org/resource/Wayne_Rooney"
"59","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/09/7Y6M-P981-2SPD-94P2.xml#backEvent","14","2010-04-09","http://dbpedia.org/resource/Jong_Tae-Se"
"60","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/09/7Y6M-P981-2SPD-94P2.xml#believeEvent","30","2010-04-09","http://dbpedia.org/resource/Jong_Tae-Se"
"61","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/08/7Y98-J630-Y8K3-32TJ.xml#backEvent","5","2010-04-08","http://dbpedia.org/resource/Lionel_Messi"
"62","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/08/7Y6H-BBG0-Y9KG-Y08F.xml#understandEvent","9","2010-04-08","http://dbpedia.org/resource/Didier_Drogba"
"63","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/08/7Y66-C5W0-Y9M5-14M9.xml#believeEvent","22","2010-04-08","http://dbpedia.org/resource/Lionel_Messi"
"64","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/08/7Y65-YTC0-YB39-01R3.xml#addEvent","8","2010-04-08","http://dbpedia.org/resource/Lionel_Messi"
"65","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/08/7Y65-YTC0-YB39-01R3.xml#likesEvent","6","2010-04-08","http://dbpedia.org/resource/Cristiano_Ronaldo"
"66","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/08/7Y66-C5W0-Y9M5-14M9.xml#missEvent","18","2010-04-08","http://dbpedia.org/resource/Pelé"
"67","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/08/7Y66-C5W0-Y9ND-C0CD.xml#standingEvent","24","2010-04-08","http://dbpedia.org/resource/Lionel_Messi"
"68","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/06/7Y5W-B491-2R6N-X2DB.xml#loveEvent","11","2010-04-06","http://dbpedia.org/resource/Sunil_Chhetri"
"69","http://www.theguardian.com/football/2010/apr/06/cska-moscow-internazionale-champions-league-live#standEvent","69","2010-04-06","http://dbpedia.org/resource/Wesley_Sneijder"
